treatment,hdl,ldl,chol
no_inj,117.4,80.6,228.3
no_inj,129.0,93.8,268.7
no_inj,108.0,69.2,176.0
no_inj,143.3,95.6,271.6
no_inj,121.7,112.0,258.0
no_inj,126.0,80.4,212.8
water,114.4,101.6,233.0
water,141.2,92.1,271.9
water,139.7,87.2,223.1
water,112.1,69.7,183.7
mix_1,139.5,82.7,241.7
mix_1,140.5,92.4,252.8
mix_1,170.6,116.3,338.8
mix_1,126.0,85.0,227.2
mix_1,148.1,79.9,266.6
mix_1,129.4,71.3,218.4
mix_2,121.6,76.0,212.6
mix_2,108.3,71.2,193.6
mix_2,133.1,85.7,236.5
mix_2,116.9,72.1,196.4
mix_2,159.8,103.2,312.4
mix_2,156.3,88.2,258.8
mix_2,147.9,97.6,270.0
mix_3,119.1,88.1,224.1
mix_3,117.5,74.7,203.6
mix_3,135.7,106.1,282.0
mix_3,192.1,129.3,339.7
mix_3,151.3,84.5,253.0
