treatment,biological_rep,villis_height,villis_width1,villis_width2,villis_width3,crypt_depth,goblet_count
1,1,313.48,39.13,42.79,42.56,12.55,64
1,1,307.81,32.24,27.83,32.62,19,88
1,1,318.11,26.46,47.49,44.59,14.47,38
1,1,256.39,59.35,54.84,48.99,10.45,65
1,1,251.99,55.78,65.77,54.05,30.76,47
1,1,273.73,33.39,34.84,40.19,10.39,67
1,1,353.25,38.16,42.07,40.63,24.58,37
1,1,309.23,37.83,40.15,42.66,22.66,61
1,1,264.32,24.81,46.37,57.07,13.27,55
1,1,273.97,79.37,59.57,51.29,17.12,38
1,2,240.12,35.18,38.18,23.66,12.98,33
1,2,215.54,38.89,33.74,50.34,16.86,44
1,2,209.37,42.67,39.11,35.81,17.71,43
1,2,245.54,36.52,47.49,38.22,20.26,38
1,2,236,29.12,26.1,35.15,12.05,58
1,2,210.07,44.39,39.69,26.88,21.67,45
1,2,194.88,35.72,32.31,32.59,20.89,43
1,2,227.54,49.23,41.33,36.76,19.58,27
1,2,217.3,40.04,33.51,45.18,20.35,48
1,2,202.76,40.17,37.99,35.72,17.29,49
1,3,201.72,36.01,47.97,44.66,7.75,46
1,3,188.79,42.12,38.86,33.87,17.75,34
1,3,218.02,35.82,16.97,36.94,12.92,83
1,3,221.4,47.35,40.75,29.89,15.13,30
1,3,179.9,38.26,38.15,32.12,27.76,34
1,3,282.55,34.43,43.86,20.68,13.7,56
1,3,249.59,34.74,33.14,28.87,17.71,38
1,3,223.09,38.67,33.14,30.72,16.97,26
1,3,272.73,36.41,31.51,38.63,17.19,70
1,3,228.48,53.33,43.89,48.33,15.91,28
1,4,170.72,31.75,28.56,22.14,10.39,56
1,4,164.98,36.25,32.18,23.94,13.33,54
1,4,169.85,19.96,18.02,24.55,9.48,53
1,4,166.88,22.42,32.55,22.14,12.21,38
1,4,177.87,30.76,27.43,21.43,17.12,45
1,4,192.97,27.09,30.11,33.51,13.65,19
1,4,194.88,42.88,29.54,29.41,17.81,32
1,4,129.88,16.48,29.23,35.1,23.27,50
1,4,210.75,41.96,28.22,26.75,16.61,68
1,4,170.21,24.77,24.81,16.02,12.22,42
1,5,206.97,47.15,51.04,36.68,12.96,36
1,5,150.75,50.78,59.41,70.9,20.77,42
1,5,164.41,37.72,36.54,36.85,8.43,51
1,5,186.42,44.67,34.46,34.7,13.7,40
1,5,143.28,29.67,32.22,28.29,17.21,49
1,5,144.15,29.05,36.92,43.88,14.21,41
1,5,109.71,27.54,26,34.21,14.06,40
1,5,153.24,34.18,40.77,26.94,14.58,33
1,5,132.58,31.87,36.92,38.14,14.41,39
1,5,138.41,39.87,37.95,24.28,11.44,43
1,6,153.62,23.63,16.58,15.64,14.78,53
1,6,170.48,26.09,28.72,22.2,21.52,24
1,6,159.04,21.71,22.2,15.64,15.44,20
1,6,196.28,24.1,25.82,30.9,22.14,27
