Tissue,Treatment,Sample,Gene,Rep1,Rep2
Duodenum,No Injection,1,GAPDH,19.5,19.51
Duodenum,No Injection,2,GAPDH,18.94,19.02
Duodenum,No Injection,3,GAPDH,20.98,20.94
Duodenum,No Injection,4,GAPDH,20.63,20.58
Duodenum,No Injection,5,GAPDH,20.21,19.96
Duodenum,No Injection,6,GAPDH,20.69,19.87
Duodenum,No Injection,7,GAPDH,20.42,20.27
Duodenum,No Injection,8,GAPDH,21.19,21.02
Duodenum,Water,1,GAPDH,19.42,19.52
Duodenum,Water,2,GAPDH,19.24,19.99
Duodenum,Water,3,GAPDH,19.45,19.78
Duodenum,Water,4,GAPDH,20.89,20.27
Duodenum,Water,5,GAPDH,21.16,21.05
Duodenum,Water,6,GAPDH,20.34,19.44
Duodenum,Water,7,GAPDH,21.29,21.29
Duodenum,Mix Dose 1,1,GAPDH,20.09,21.54
Duodenum,Mix Dose 1,2,GAPDH,21.64,20.46
Duodenum,Mix Dose 1,3,GAPDH,21.17,21.2
Duodenum,Mix Dose 1,4,GAPDH,19.32,19.31
Duodenum,Mix Dose 1,5,GAPDH,20.09,20.31
Duodenum,Mix Dose 1,6,GAPDH,21.06,20.61
Duodenum,Mix Dose 1,7,GAPDH,19.59,19.75
Duodenum,Mix Dose 1,8,GAPDH,19.32,19.3
Duodenum,Mix Dose 2,1,GAPDH,20.53,20.55
Duodenum,Mix Dose 2,2,GAPDH,20.55,20.33
Duodenum,Mix Dose 2,3,GAPDH,19.58,20.15
Duodenum,Mix Dose 2,4,GAPDH,20.8,20.13
Duodenum,Mix Dose 2,5,GAPDH,20.9,19.6
Duodenum,Mix Dose 2,6,GAPDH,20.5,20.7
Duodenum,Mix Dose 2,7,GAPDH,21.83,21.65
Duodenum,Mix Dose 2,8,GAPDH,20.89,20.79
Duodenum,Mix Dose 3,1,GAPDH,21.72,21.32
Duodenum,Mix Dose 3,2,GAPDH,19.19,19.84
Duodenum,Mix Dose 3,3,GAPDH,20.53,20.89
Duodenum,Mix Dose 3,4,GAPDH,21.43,21.85
Duodenum,Mix Dose 3,5,GAPDH,21.34,21.79
Duodenum,Mix Dose 3,6,GAPDH,21.7,21.31
Duodenum,Mix Dose 3,7,GAPDH,20.96,21.11
Duodenum,Mix Dose 3,8,GAPDH,20.86,20.05
Duodenum,No Injection,1,OCLN,23.97,24.02
Duodenum,No Injection,2,OCLN,23.67,23.64
Duodenum,No Injection,3,OCLN,23.79,23.74
Duodenum,No Injection,4,OCLN,23.66,23.95
Duodenum,No Injection,5,OCLN,23.08,23.12
Duodenum,No Injection,6,OCLN,24.07,24.07
Duodenum,No Injection,7,OCLN,23.53,23.58
Duodenum,No Injection,8,OCLN,24.69,24.16
Duodenum,Water,1,OCLN,24.43,24.46
Duodenum,Water,2,OCLN,24.18,24.5
Duodenum,Water,3,OCLN,24.76,24.94
Duodenum,Water,4,OCLN,23.7,23.55
Duodenum,Water,5,OCLN,24.48,24.04
Duodenum,Water,6,OCLN,23.35,22.92
Duodenum,Water,7,OCLN,24.12,24.41
Duodenum,Mix Dose 1,1,OCLN,24.3,24.39
Duodenum,Mix Dose 1,2,OCLN,23.78,23.68
Duodenum,Mix Dose 1,3,OCLN,24.97,24.67
Duodenum,Mix Dose 1,4,OCLN,25.74,25.55
Duodenum,Mix Dose 1,5,OCLN,24.2,24.03
Duodenum,Mix Dose 1,6,OCLN,24.77,24.76
Duodenum,Mix Dose 1,7,OCLN,23.2,23.24
Duodenum,Mix Dose 1,8,OCLN,23.68,23.74
Duodenum,Mix Dose 2,1,OCLN,25.8,25.8
Duodenum,Mix Dose 2,2,OCLN,25.6,25.42
Duodenum,Mix Dose 2,3,OCLN,23.47,24.14
Duodenum,Mix Dose 2,4,OCLN,25.72,25.57
Duodenum,Mix Dose 2,5,OCLN,24.22,24.97
Duodenum,Mix Dose 2,6,OCLN,23.17,23.23
Duodenum,Mix Dose 2,7,OCLN,25.31,25.31
Duodenum,Mix Dose 2,8,OCLN,25.03,24.74
Duodenum,Mix Dose 3,1,OCLN,23.51,23.94
Duodenum,Mix Dose 3,2,OCLN,24.09,23.66
Duodenum,Mix Dose 3,3,OCLN,23.17,22.85
Duodenum,Mix Dose 3,4,OCLN,23.81,23.79
Duodenum,Mix Dose 3,5,OCLN,23.78,23.94
Duodenum,Mix Dose 3,6,OCLN,23.79,23.78
Duodenum,Mix Dose 3,7,OCLN,23.64,23.58
Duodenum,Mix Dose 3,8,OCLN,23.72,23.85
Duodenum,No Injection,1,MUC2,21.01,21.11
Duodenum,No Injection,2,MUC2,21.26,21.35
Duodenum,No Injection,3,MUC2,21.41,21.45
Duodenum,No Injection,4,MUC2,20.81,20.72
Duodenum,No Injection,5,MUC2,20.36,20.53
Duodenum,No Injection,6,MUC2,20.94,20.86
Duodenum,No Injection,7,MUC2,21.01,21.32
Duodenum,No Injection,8,MUC2,20.75,21.55
Duodenum,Water,1,MUC2,21.55,20.87
Duodenum,Water,2,MUC2,21.48,21.26
Duodenum,Water,3,MUC2,21.9,21.81
Duodenum,Water,4,MUC2,21.4,21.19
Duodenum,Water,5,MUC2,21.18,21.13
