bird_num,no_inj,water,saline,mix_1,mix_2,mix_3
1,42,36.5,,39.5,45.5,42.5
2,44.1,41.7,,36,41.5,40
3,39,43.7,,40,42,39.5
4,36.6,38.1,,43,40.5,43
5,42.2,40.9,,42,38,43
6,34.9,44,,43,39,46
7,42.3,43.5,,42,43,39
8,41.2,,,37,40,41.5
9,37.3,,,44.5,39,40.5
10,39.9,,,39.5,42,39.5
11,43.2,,,36.5,44,41
12,46.3,,,44,45.5,40
13,43.9,,,46.5,46,39
14,42.2,,,37,40,38
15,37.9,,,40.5,41.5,42
16,43,,,38.5,39,41.5
17,41,,,38,41.5,44
18,40.5,,,40.5,43.5,42
19,43.5,,,42,46.5,44.5
20,39.5,,,40.5,38.5,43.5
21,44.5,,,41.5,41,46.5
22,39,,,41.5,42.5,43.5
23,44,,,40.5,45.5,43
24,,,,43,46.5,39.5
25,,,,,44,
26,,,,,39,
